epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,8310.11,1.05436,0.72142,1.28612,0.95848,0.90122,0.93858,0.7837,0.67954,0.70793,0.97976,0.00586379,0.00586379,0.00586379
91,8399.4,1.06246,0.7218,1.29178,0.95496,0.93214,0.93749,0.7986,0.63317,0.41628,0.95907,0.00578639,0.00578639,0.00578639
92,8488.98,1.03114,0.71881,1.27952,0.96335,0.94359,0.95476,0.82784,0.62581,0.40218,0.98072,0.0057088,0.0057088,0.0057088
93,8585.03,1.04668,0.70116,1.28116,0.90577,0.93514,0.94928,0.78589,0.67839,0.45908,1.00895,0.00563104,0.00563104,0.00563104
94,8673.85,1.02639,0.69292,1.2744,0.9635,0.95,0.9602,0.82786,0.59554,0.39936,0.96129,0.00555312,0.00555312,0.00555312
95,8770.94,1.02984,0.69233,1.27109,0.95861,0.95,0.95493,0.80406,0.61954,0.39792,0.96817,0.00547507,0.00547507,0.00547507
96,8874.49,1.0156,0.68463,1.26473,0.97941,0.92967,0.96131,0.81293,0.61025,0.40246,0.95837,0.0053969,0.0053969,0.0053969
97,8974.39,1.03304,0.70725,1.27465,0.96395,0.93958,0.95112,0.80151,0.60505,0.40544,0.95225,0.00531864,0.00531864,0.00531864
98,9063.91,1.01917,0.69254,1.26624,0.92438,0.9106,0.93574,0.83182,0.56741,0.38183,0.94213,0.0052403,0.0052403,0.0052403
99,9164.09,0.99489,0.66975,1.25804,0.96106,0.91532,0.93982,0.81392,0.61591,0.41766,0.96995,0.0051619,0.0051619,0.0051619
100,9250.64,0.99648,0.67342,1.24749,0.9777,0.91571,0.95563,0.79255,0.65263,0.4443,0.98784,0.00508346,0.00508346,0.00508346
101,9348.51,0.98249,0.67116,1.247,0.92866,0.91121,0.9415,0.76331,0.67127,0.45479,0.99666,0.005005,0.005005,0.005005
