epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,5107.45,0.9554,0.62834,1.21659,0.83225,0.89705,0.91453,0.79149,0.57451,1.01791,0.9341,0.00356129,0.00356129,0.00356129
91,5165.83,0.97514,0.62845,1.22669,0.92924,0.92721,0.94313,0.83609,0.53826,0.51789,0.91223,0.00346146,0.00346146,0.00346146
92,5224.22,1.00606,0.64628,1.24625,0.93981,0.85842,0.92914,0.82093,0.55805,0.53217,0.92546,0.00336231,0.00336231,0.00336231
93,5279.35,0.96292,0.62765,1.22107,0.98857,0.93939,0.94634,0.83219,0.57454,0.39206,0.93123,0.00326388,0.00326388,0.00326388
94,5334.84,0.96841,0.63464,1.23156,0.98711,0.93182,0.94714,0.83574,0.57494,0.38051,0.93898,0.00316622,0.00316622,0.00316622
95,5390.09,0.96164,0.62518,1.21637,0.98359,0.93847,0.94708,0.8372,0.57676,0.39671,0.94812,0.00306936,0.00306936,0.00306936
96,5447,0.96849,0.62514,1.21733,0.98747,0.93939,0.94938,0.79747,0.71782,0.39131,0.96622,0.00297335,0.00297335,0.00297335
97,5504.09,0.97216,0.6187,1.22424,0.98301,0.93902,0.94857,0.8543,0.52685,0.38118,0.92386,0.00287823,0.00287823,0.00287823
98,5562.08,0.95706,0.61698,1.2091,0.98692,0.93939,0.94999,0.84565,0.55851,0.38434,0.92526,0.00278405,0.00278405,0.00278405
99,5617.39,0.95844,0.6205,1.22094,0.98258,0.93732,0.94741,0.84141,0.55763,0.38561,0.93487,0.00269084,0.00269084,0.00269084
100,5674.43,0.95112,0.60879,1.21669,0.98721,0.93939,0.94658,0.83965,0.53479,0.35616,0.91759,0.00259864,0.00259864,0.00259864
101,5730.05,0.95094,0.61342,1.21416,0.98944,0.93939,0.94755,0.84036,0.53699,0.35399,0.9155,0.0025075,0.0025075,0.0025075
102,5787.1,0.93379,0.61508,1.20537,0.97709,0.93939,0.94731,0.84589,0.52694,0.35204,0.91576,0.00241746,0.00241746,0.00241746
103,5844.07,0.93227,0.6165,1.20915,0.98931,0.93939,0.9529,0.84312,0.56725,0.35628,0.92005,0.00232855,0.00232855,0.00232855
104,5900.97,0.91991,0.60346,1.19951,0.98766,0.93939,0.94975,0.8361,0.58865,0.35325,0.93352,0.00224081,0.00224081,0.00224081
105,5957.68,0.91831,0.60204,1.19037,0.9815,0.93939,0.94563,0.84001,0.54852,0.36095,0.91361,0.00215429,0.00215429,0.00215429
106,6013.18,0.93806,0.59883,1.20967,0.97651,0.93737,0.94922,0.8421,0.5576,0.35984,0.918,0.00206901,0.00206901,0.00206901
107,6068.46,0.93562,0.60335,1.19837,0.98855,0.93939,0.94922,0.81336,0.67517,0.37124,0.94637,0.00198503,0.00198503,0.00198503
108,6125.5,0.93062,0.60034,1.19778,0.98905,0.93939,0.94747,0.83436,0.54785,0.35196,0.91452,0.00190237,0.00190237,0.00190237
109,6180.63,0.91526,0.59456,1.19474,0.98827,0.93829,0.94866,0.84462,0.54744,0.36798,0.92115,0.00182107,0.00182107,0.00182107
110,6236.23,0.91269,0.58618,1.1891,0.98477,0.9347,0.94801,0.85612,0.52789,0.36227,0.90824,0.00174116,0.00174116,0.00174116
111,6293.25,0.88826,0.56401,1.1707,0.97794,0.94025,0.9491,0.84335,0.56332,0.35297,0.9167,0.00166269,0.00166269,0.00166269
112,6351.26,0.92616,0.58541,1.20266,0.98968,0.93264,0.94643,0.84662,0.53286,0.37122,0.91588,0.00158569,0.00158569,0.00158569
113,6408.16,0.90643,0.59326,1.19115,0.98861,0.93922,0.94665,0.81423,0.66115,0.3679,0.93614,0.00151018,0.00151018,0.00151018
114,6463.81,0.91279,0.58839,1.20415,0.98299,0.937,0.94882,0.85241,0.53483,0.34316,0.91234,0.00143621,0.00143621,0.00143621
115,6522.25,0.88708,0.56178,1.18138,0.98704,0.93879,0.94788,0.84734,0.54083,0.35145,0.91557,0.0013638,0.0013638,0.0013638
116,6580.58,0.8774,0.56986,1.17652,0.98597,0.93939,0.94837,0.85999,0.51151,0.34573,0.90649,0.00129299,0.00129299,0.00129299
117,6635.78,0.87835,0.56786,1.16876,0.98605,0.93939,0.9509,0.85374,0.53168,0.33844,0.90846,0.00122381,0.00122381,0.00122381
118,6694.13,0.87742,0.54421,1.16824,0.98742,0.93939,0.94894,0.85039,0.52696,0.34484,0.90703,0.00115629,0.00115629,0.00115629
119,6750.94,0.88532,0.57228,1.16624,0.97346,0.94129,0.94878,0.85294,0.53743,0.36231,0.91588,0.00109045,0.00109045,0.00109045
120,6807.86,0.86132,0.55221,1.16413,0.98331,0.93686,0.94764,0.85708,0.50713,0.33466,0.90196,0.00102633,0.00102633,0.00102633
121,6865.87,0.87062,0.5527,1.16429,0.97699,0.94076,0.95013,0.85474,0.50931,0.3471,0.90404,0.00096396,0.00096396,0.00096396
122,6922.79,0.87037,0.5463,1.16432,0.99037,0.9281,0.94816,0.85288,0.51853,0.35554,0.9102,0.00090336,0.00090336,0.00090336
123,6978.32,0.86233,0.55657,1.15829,0.9863,0.93939,0.94641,0.86136,0.50325,0.33956,0.90184,0.000844558,0.000844558,0.000844558
124,7033.45,0.88772,0.55314,1.17237,0.9891,0.93939,0.94817,0.86035,0.49561,0.34371,0.89873,0.000787582,0.000787582,0.000787582
125,7088.67,0.86406,0.55639,1.15665,0.98698,0.93939,0.94795,0.85417,0.53771,0.34372,0.90339,0.000732456,0.000732456,0.000732456
126,7143.77,0.8671,0.5455,1.15908,0.98844,0.93939,0.94682,0.85643,0.51406,0.32828,0.89896,0.000679203,0.000679203,0.000679203
127,7199.1,0.86949,0.55277,1.1634,0.98842,0.93939,0.94853,0.86305,0.50412,0.32393,0.896,0.000627848,0.000627848,0.000627848
128,7255.92,0.83815,0.54618,1.15735,0.98777,0.93879,0.94823,0.8661,0.50038,0.33181,0.89726,0.000578413,0.000578413,0.000578413
129,7313.99,0.85962,0.54652,1.15848,0.98843,0.93939,0.94793,0.86552,0.4968,0.32488,0.89624,0.00053092,0.00053092,0.00053092
130,7369.43,0.86251,0.55079,1.16138,0.98818,0.93891,0.9475,0.86549,0.5087,0.33654,0.9006,0.000485389,0.000485389,0.000485389
131,7427.94,0.84885,0.54431,1.15303,0.98883,0.93939,0.9494,0.86598,0.49775,0.33128,0.8976,0.00044184,0.00044184,0.00044184
132,7483.35,0.83865,0.54157,1.15632,0.98865,0.93843,0.94916,0.86631,0.50243,0.33333,0.90003,0.000400294,0.000400294,0.000400294
